feature_id,category,feature
198,actors,Alan Hale Jr.
199,actors,Alan Hale Sr.
200,actors,Alan Hewitt
201,actors,Alan Hopgood
202,actors,Alan King
203,actors,Alan Ladd
204,actors,Alan Marshal (actor)
205,actors,Alan Rachins
206,actors,Alan Rickman
207,actors,Alan Ritchson
208,actors,Alan Ruck
209,actors,Alan Scarfe
210,actors,Alan Tudyk
211,actors,Alan Young
212,actors,Alanna Ubach
213,actors,Alastair Sim
214,actors,Albert Austin
215,actors,Albert Basserman
216,actors,Albert Bassermann
217,actors,Albert Brooks
218,actors,Albert Dekker
219,actors,Albert Delpy
220,actors,Albert Dupontel
221,actors,Albert Finney
222,actors,Albert Hague
223,actors,Albert Hall (actor)
224,actors,Albert Sharpe
225,actors,Alberta Watson
226,actors,Alberto Ammann
227,actors,Alberto Lupo
228,actors,Alden Ehrenreich
229,actors,Aldis Hodge
230,actors,Aldo Ray
231,actors,Alec Baldwin
232,actors,Alec Guinness
233,actors,Alec Mango
234,actors,Alec McCowen
235,actors,Aleks Paunovic
236,actors,Aleksa Palladino
237,actors,Aleksandr Abdulov
238,actors,Aleksandr Baluev
239,actors,Aleksandr Yakovlevich Mikhailov
240,actors,Aleksandra Khokhlova
241,actors,Aleksei Serebryakov (actor)
242,actors,Alessandro Gassman
243,actors,Alessandro Nivola
244,actors,Alex Abbad
245,actors,Alex Borstein
246,actors,Alex D. Linz
247,actors,Alex Diakun
248,actors,Alex Dimitriades
249,actors,Alex Désert
250,actors,Alex English
251,actors,Alex Etel
252,actors,Alex Frost
253,actors,Alex Hyde-White
254,actors,Alex Jennings
255,actors,Alex Karras
256,actors,Alex Kendrick
257,actors,Alex Kingston
258,actors,Alex McKenna
259,actors,Alex O'Loughlin
260,actors,Alex Pettyfer
261,actors,Alex Reid (actress)
262,actors,Alex Rocco
263,actors,Alex Roe
264,actors,Alex Russell (actor)
265,actors,Alex Scott (actor)
266,actors,Alex Vincent (actor)
267,actors,Alex Winter
268,actors,Alexa Davalos
269,actors,Alexa PenaVega
270,actors,Alexander D'Arcy
271,actors,Alexander Godunov
272,actors,Alexander Gould
273,actors,Alexander Hammid
274,actors,Alexander Kaidanovsky
275,actors,Alexander Ludwig
276,actors,Alexander Polinsky
277,actors,Alexander Pollock
278,actors,Alexander Siddig
279,actors,Alexander Skarsgård
280,actors,Alexandra Breckenridge
281,actors,Alexandra Daddario
282,actors,Alexandra Holden
283,actors,Alexandra Jiménez
284,actors,Alexandra Maria Lara
285,actors,Alexandra Paul
286,actors,Alexandra Powers
287,actors,Alexandra Roach
288,actors,Alexei Sayle
289,actors,Alexey Barabash
290,actors,Alexia Fast
291,actors,Alexia Landeau
292,actors,Alexie Gilmore
293,actors,Alexis Arquette
294,actors,Alexis Bledel
295,actors,Alexis Denisof
296,actors,Alexis Dziena
297,actors,Alexis Knapp
298,actors,Alexis Smith
299,actors,Alexis Zegerman
300,actors,Alexondra Lee
301,actors,Alf Humphreys
302,actors,Alfie Allen
303,actors,Alfonso Arau
304,actors,Alfre Woodard
305,actors,Alfred Abel
306,actors,Alfred Hitchcock
307,actors,Alfred Lutter
308,actors,Alfred Molina
309,actors,Ali Hillis
310,actors,Ali Larter
311,actors,Ali MacGraw
312,actors,Ali Suliman
313,actors,Ali Wentworth
314,actors,Alia Shawkat
315,actors,Alice Brady
316,actors,Alice Braga
317,actors,Alice Cooper
318,actors,Alice Coulthard
319,actors,Alice Englert
320,actors,Alice Eve
321,actors,Alice Ghostley
322,actors,Alice Krige
323,actors,Alice Lowe
324,actors,Alice Playten
325,actors,Alicia Keys
326,actors,Alicia Silverstone
327,actors,Alicia Vikander
328,actors,Alicia Witt
329,actors,Alida Valli
330,actors,Alighiero Noschese
331,actors,Aline Kominsky-Crumb
332,actors,Aline MacMahon
333,actors,Alisa Freindlich
334,actors,Alison Brie
335,actors,Alison Doody
336,actors,Alison Eastwood
337,actors,Alison Elliott
338,actors,Alison La Placa
339,actors,Alison Lohman
340,actors,Alison Pill
341,actors,Alison Routledge
342,actors,Alison Steadman
343,actors,Alison Sudol
344,actors,Allan Corduner
345,actors,Allan F. Nicholls
346,actors,Allan Jones (actor)
347,actors,Allan Rich
348,actors,Allen Covert
349,actors,Allen Garfield
350,actors,Allen Leech
351,actors,Allen Payne
352,actors,Allison Hayes
353,actors,Allison Janney
354,actors,Allison Mack
355,actors,Allison Rutledge-Parisi
356,actors,Allison Tolman
357,actors,Allison Williams (actress)
358,actors,Ally Sheedy
359,actors,Ally Walker
360,actors,Allyce Beasley
361,actors,Allyn Ann McLerie
362,actors,Alon Abutbul
363,actors,Alondra Hidalgo
364,actors,Alphonsia Emmanuel
365,actors,Altovise Davis
366,actors,Alun Armstrong
367,actors,Alun Armstrong (actor)
368,actors,Alva Rogers
369,actors,Alvy Moore
370,actors,Aly Michalka
371,actors,Alycia Delmore
372,actors,Alysia Reiner
373,actors,Alyson Court
374,actors,Alyson Hannigan
375,actors,Alyson Reed
376,actors,Alyson Stoner
377,actors,Alyssa Milano
378,actors,Amanda Bearse
379,actors,Amanda Bynes
380,actors,Amanda Crew
381,actors,Amanda Detmer
382,actors,Amanda Donohoe
383,actors,Amanda Peet
384,actors,Amanda Peterson
385,actors,Amanda Plummer
386,actors,Amanda Redman
387,actors,Amanda Righetti
388,actors,Amanda Root
389,actors,Amanda Sandrelli
390,actors,Amanda Schull
391,actors,Amanda Seyfried
392,actors,Amanda Tapping
393,actors,Amanda Wyss
394,actors,Amandla Stenberg
395,actors,Amara Karan
396,actors,Amaury Nolasco
397,actors,Amber Benson
398,actors,Amber Heard
399,actors,Amber Rose Revah
400,actors,Amber Sainsbury
401,actors,Amber Smith
402,actors,Amber Tamblyn
403,actors,Amber Valletta
404,actors,Ambyr Childers
405,actors,Amelia Cooke
406,actors,Amelia Heinle
407,actors,Amelia Warner
408,actors,America Ferrera
409,actors,America Olivo
410,actors,Amerie
411,actors,Ami Dolenz
412,actors,Amir Bar-Lev
413,actors,Amira Casar
414,actors,Amitabh Bachchan
415,actors,Amr Waked
416,actors,Amrish Puri
417,actors,Amy Acker
418,actors,Amy Adams
419,actors,Amy Brenneman
420,actors,Amy Green
421,actors,Amy Irving
422,actors,Amy Jo Johnson
423,actors,Amy Lalonde
424,actors,Amy Landecker
425,actors,Amy Locane
426,actors,Amy Madigan
427,actors,Amy Morton
428,actors,Amy Poehler
429,actors,Amy Robinson
430,actors,Amy Ryan
431,actors,Amy Schumer
432,actors,Amy Sedaris
433,actors,Amy Seimetz
434,actors,Amy Shiels
435,actors,Amy Smart
436,actors,Amy Spanger
437,actors,Amy Steel
438,actors,Amy Winehouse
439,actors,Amy Yasbeck
440,actors,Ana Gasteyer
441,actors,Ana Ofelia Murguía
442,actors,Ana de Armas
443,actors,Anastasia Hille
444,actors,Anastasiya Vertinskaya
445,actors,Anatoliy Beliy
446,actors,Anatoly Solonitsyn
447,actors,Anders Holm
448,actors,Andie MacDowell
449,actors,Andra Akers
450,actors,Andre Benjamin
451,actors,Andre Braugher
452,actors,Andre Gower
453,actors,Andre Gregory
454,actors,Andre Stojka
455,actors,Andre Tricoteux
456,actors,Andrea Bowen
457,actors,Andrea Corr
458,actors,Andrea Duro
459,actors,Andrea Martin
460,actors,Andrea Navedo
461,actors,Andrea Riseborough
462,actors,Andrea Roth
463,actors,Andrea Thompson
464,actors,Andreas Cahling
465,actors,Andreas Katsulas
466,actors,Andrei Arlovski
467,actors,Andrei Mironov (actor)
468,actors,Andrew Dice Clay
469,actors,Andrew Divoff
470,actors,Andrew Garfield
471,actors,Andrew Havill
472,actors,Andrew Howard
473,actors,Andrew Keegan
474,actors,Andrew Keir
475,actors,Andrew Knott
476,actors,Andrew Lauer
477,actors,Andrew Lawrence (actor)
478,actors,Andrew Lowery
479,actors,Andrew McCarthy
480,actors,Andrew Miller (actor)
481,actors,Andrew N. Robertson
482,actors,Andrew Parks
483,actors,Andrew Robinson (actor)
484,actors,Andrew Scott (actor)
485,actors,Andrew Shim
486,actors,Andrew Simpson (actor)
487,actors,Andrew Stevens
488,actors,Andrew Strong
489,actors,Andrey Smolyakov
490,actors,André 3000
491,actors,André Benjamin
492,actors,André Dussollier
493,actors,André Eglevsky
494,actors,André Hennicke
495,actors,André Holland
496,actors,André the Giant
497,actors,Andréa Ferréol
498,actors,Andy Bichlbaum
499,actors,Andy Comeau
500,actors,Andy Devine
